currentGeneName,mycancerstudy,mycancername,total,totalcna,cnatotal,amptotal,deltotal,totalamp,totaldel,amptocna,deltocna,P-value,
NFKBIB,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
NFKBIB,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,0.0377,P<0.05
CD79A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
CD79A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,0.0377,P<0.05
CIC,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,0.301,
CIC,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,0.0353,P<0.05
BCL3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,0.0519,
BCL3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,0.383,
CBLC,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,0.0519,
CBLC,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,0.383,
ERCC2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,0.0519,
ERCC2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,0.0377,P<0.05
GLTSCR2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,0.0519,
GLTSCR2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,0.0377,P<0.05
BAX,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,0.0519,
BAX,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,0.0377,P<0.05
KLK3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
KLK3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
KLK2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
KLK2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
PPP2R1A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
PPP2R1A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
TFPT,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
TFPT,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
ZNF331,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
ZNF331,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
EGFR,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
EGFR,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
PDGFA,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
PDGFA,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,,
GPER,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
GPER,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,,
PMS2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.46,0.23,2,1,66.67,33.33,,
PMS2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,,
RAC1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
RAC1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,,
GRB10,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
GRB10,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
PIK3CG,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
PIK3CG,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
CARD11,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
CARD11,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,,
ETV1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
ETV1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
HNRNPA2B1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
HNRNPA2B1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
HOXA9,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
HOXA9,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
HOXA11,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
HOXA11,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
HOXA13,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
HOXA13,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
JAZF1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
JAZF1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
INHBA,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
INHBA,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
GLI3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
GLI3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
HECW1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
HECW1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
IGFBP1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
IGFBP1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
IGFBP3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
IGFBP3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
SBDS,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
SBDS,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,,
CLDN3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
CLDN3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
ELN,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
ELN,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
CLIP2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
CLIP2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
HIP1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
HIP1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
STYXL1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
STYXL1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
YWHAG,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
YWHAG,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,,
ABCB1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
ABCB1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
AKAP9,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
AKAP9,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
CDK6,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
CDK6,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0.95,0,5,0,100,0,,
LMTK2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
LMTK2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
STAG3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
STAG3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
PILRB,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
PILRB,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
MOSPD3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
MOSPD3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
SERPINE1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
SERPINE1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
PPP1R3A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
PPP1R3A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.76,0,4,0,100,0,,
RHPN2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
RHPN2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,,
TRIM24,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
TRIM24,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.57,0,3,0,100,0,,
RB1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
RB1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0,0.95,0,5,0,100,,
AR,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
AR,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
ARAF,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
ARAF,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.19,0.38,1,2,33.33,66.67,,
RRAGB,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
RRAGB,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.19,0.57,1,3,25,75,,
FOXO4,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
FOXO4,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
PAK3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,4,0.92,0.92,0,4,0,100,0,,
PAK3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,8,1.52,0.57,0.95,3,5,37.5,62.5,,
IRAK1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,6,1.38,1.38,0,6,0,100,0,,
IRAK1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0.95,0,5,0,100,0,,
P2RY8,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
P2RY8,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
RAB9A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
RAB9A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0,0.38,0,2,0,100,,
DMD,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
DMD,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0,0.76,0,4,0,100,,
KDM6A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
KDM6A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0,0.38,0,2,0,100,,
SSX1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
SSX1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.19,0.38,1,2,33.33,66.67,,
WAS,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
WAS,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.19,0.38,1,2,33.33,66.67,,
GATA1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
GATA1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0.19,0.38,1,2,33.33,66.67,,
TFE3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
TFE3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0.19,0.57,1,3,25,75,,
KDM5C,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
KDM5C,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,4,0.76,0,0.76,0,4,0,100,,
FAM123B,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0.46,0,2,0,100,0,,
FAM123B,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0.38,0.57,2,3,40,60,,
MSN,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
MSN,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
NONO,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
NONO,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
ERCC6L,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
ERCC6L,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
XIST,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
XIST,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,3,0.57,0,0.57,0,3,0,100,,
ELF4,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
ELF4,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0.19,0,1,0,100,0,,
GPC3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,3,0.69,0.69,0,3,0,100,0,,
GPC3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.19,0.19,1,1,50,50,,
PHF6,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,4,0.92,0.92,0,4,0,100,0,,
PHF6,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0.38,0,2,0,100,0,,
FLNA,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,6,1.38,1.38,0,6,0,100,0,,
FLNA,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,5,0.95,0.95,0,5,0,100,0,,
MTCP1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,7,1.61,1.15,0.46,5,2,71.43,28.57,,
MTCP1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,6,1.14,0.95,0.19,5,1,83.33,16.67,,
ARHGAP8,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
ARHGAP8,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
PLA2G6,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
PLA2G6,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
GSTT1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
GSTT1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
NTRK2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
NTRK2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
DDB2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
DDB2,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
MAPKAP1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
MAPKAP1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
ABL1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
ABL1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
TSC1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,2,0.46,0,0.46,0,2,0,100,,
TSC1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,2,0.38,0,0.38,0,2,0,100,,
FANCC,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
FANCC,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
PTCH1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
PTCH1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
XPA,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
XPA,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
NR4A3,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
NR4A3,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
CNTRL,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
CNTRL,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
ENG,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
ENG,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
SET,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,0,0,0,0,0,0,NaN,NaN,,
SET,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,0,0,0,0,0,0,NaN,NaN,,
FNBP1,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
FNBP1,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
NUP214,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0,0.23,0,1,0,100,,
NUP214,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,1,0.19,0,0.19,0,1,0,100,,
CDKN2A,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,13,2.98,0,2.98,0,13,0,100,,
CDKN2A,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,15,2.84,0,2.84,0,15,0,100,,
CDKN2B,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,12,2.75,0,2.75,0,12,0,100,,
CDKN2B,kirc_tcga,"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",528,15,2.84,0,2.84,0,15,0,100,,
JAK2,kirc_tcga_pub,"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",436,1,0.23,0.23,0,1,0,100,0,,
